"metabolite","EV_0","EV_1000","MYC_0","MYC_80","MYC_160","MYC_1000","TP53R175H_MYC_0","TP53R175H_MYC_80","TP53R175H_MYC_160","TP53R175H_MYC_1000","TP53R248Q_MYC_0","TP53R248Q_MYC_80","TP53R248Q_MYC_160","TP53R248Q_MYC_1000","TP53R273H_MYC_0","TP53R273H_MYC_80","TP53R273H_MYC_160","TP53R273H_MYC_1000"
"arginine",-0.157275850599152,-0.157275850599152,-0.222594111696528,-0.20132001114827,-0.250560593299345,-0.349493281474042,-0.25103144791412,-0.202084774621662,-0.337806106413463,-0.479032514398361,-0.191944546095525,-0.176272675032958,-0.352418393114747,-0.451890136219723,-0.21744366799985,-0.206481445129257,-0.313527186299536,-0.402007287158398
"asparagine",-0.0162901496129304,-0.0162901496129304,-0.0239381311757403,-0.0239381311757403,-0.0239381311757403,-0.0239381311757403,-0.0194344578544283,-0.0194353052994233,-0.0184590357927214,-0.0293163280970233,-0.0202763835475534,-0.0128653670802054,-0.0281116486444836,-0.0323215741063885,-0.0215262196697326,-0.0194362910676909,-0.0259114799722525,-0.034961791006652
"glucose",-4.32660928774292,-4.00900670414175,-5.64327114398592,-5.82465582435808,-5.76197122831511,-8.90455646844945,-6.33493913202464,-6.37682290913403,-11.1265290521535,-14.0638095186034,-4.19028492208777,-5.67848306952498,-9.56182893938318,-14.4119686356244,-5.65832011001571,-6.24654120746058,-8.99982745109579,-13.1323681766152
"L_lactate",1.49105730916173,1.61480272757273,1.41599100835374,1.15752182807116,1.88379795749165,6.0414833424927,2.40522205622246,5.77752380998931,6.86648253788432,9.55017969841477,3.40399637966068,3.94747638768421,5.19131657035349,10.5732787764048,1.58984803670987,3.65581824794592,4.94194817700397,10.188848018795
"methionine",-0.0296203907539366,-0.0296203907539366,-0.067349922207846,-0.067349922207846,-0.067349922207846,-0.067349922207846,-0.0648928365617051,-0.0424220344094262,-0.062328676146795,-0.0843803843555746,-0.05915618471993,-0.0359682133300186,-0.0732152192803881,-0.0868030786604283,-0.0457066803078409,-0.0413841979249396,-0.0634129226685917,-0.0712980013311979
"serine",-0.0896931428055127,-0.0896931428055127,-0.153266691726695,-0.110798189614758,-0.139395300284713,-0.17239568192542,-0.144792236854662,-0.159747202852343,-0.188208522230512,-0.221121282745613,-0.175895420477624,-0.175895420477624,-0.175895420477624,-0.175895420477624,-0.124624967970271,-0.138433315077066,-0.186313329435082,-0.191788685854082
"threonine",-0.0884083713184052,-0.0884083713184052,-0.188260301697501,-0.188260301697501,-0.188260301697501,-0.188260301697501,-0.164306783396874,-0.12458083571137,-0.239952091465512,-0.308264068135297,-0.133392939307954,-0.127692528291763,-0.227669203406185,-0.299738746002554,-0.167386955340741,-0.161750745255804,-0.211526559581779,-0.281268897262974
"tryptophan",-0.0149531492615818,-0.0149531492615818,-0.0160832753134397,-0.0179420349975368,-0.0153414654851093,-0.0231261218786436,-0.0206144162981376,-0.0178482260855964,-0.0232398635696486,-0.0299976719613903,-0.0135223100737805,-0.0123863208095985,-0.0226886228644143,-0.0268903037556204,-0.012038418158128,-0.0119975724555835,-0.0202766477953412,-0.0235908178130734
"valine",-0.0780224362565221,-0.0780224362565221,-0.211105511099244,-0.211105511099244,-0.211105511099244,-0.211105511099244,-0.109555827920225,-0.109043100265685,-0.149593431458715,-0.173345296775524,-0.162982676502235,-0.144373624657156,-0.257689794968932,-0.295819283457502,-0.171420247687613,-0.195027677957713,-0.216333908259205,-0.267817199251413
