"metabolite","EV_0","EV_1000","MYC_0","MYC_80","MYC_160","MYC_1000","TP53R175H_MYC_0","TP53R175H_MYC_80","TP53R175H_MYC_160","TP53R175H_MYC_1000","TP53R248Q_MYC_0","TP53R248Q_MYC_80","TP53R248Q_MYC_160","TP53R248Q_MYC_1000","TP53R273H_MYC_0","TP53R273H_MYC_80","TP53R273H_MYC_160","TP53R273H_MYC_1000"
"arginine",-0.0970680373097354,-0.0970680373097354,-0.145408307011122,-0.176867174214417,-0.218039056278458,-0.33440078859705,-0.223803486050555,-0.175388601843452,-0.295637252238818,-0.444916283103962,-0.133644589158606,-0.169574987872349,-0.310956034577701,-0.429649754516493,-0.180211370642132,-0.152074094952339,-0.2826150072678,-0.344963310265668
"asparagine",-0.0133888626499871,-0.0133888626499871,-0.0182165334416671,-0.0182165334416671,-0.0182165334416671,-0.0182165334416671,-0.0121279580957587,-0.0187817634278701,-0.0153635435766985,-0.0267340075109118,-0.0158311093183535,-0.00842936544262547,-0.0203265067825854,-0.0312439852847468,-0.0113985388861244,-0.0133050199172653,-0.021996047807424,-0.0275855141676045
"glucose",-3.53995305360784,-3.28009639429779,-4.61722184507939,-4.76562749265661,-4.71434009589418,-7.28554620145864,-5.18313201711107,-5.21740056201875,-9.10352376994378,-11.5067532424937,-3.42841493625363,-4.64603160233862,-7.82331458676805,-11.7916107018745,-4.6295346354674,-5.11080644246775,-7.36349518726019,-10.744664871776
"L_lactate",1.82240337786433,1.97364777814444,1.73065567687679,1.41474890097587,2.30241972582313,7.38403519637997,2.93971584649411,7.06141798998693,8.39236754630306,11.6724418536181,4.16044001958528,4.82469336272515,6.34494247487649,12.9228962822726,1.94314760042318,4.46822230304501,6.04015888300485,12.4530364674161
"methionine",-0.0179614377541729,-0.0179614377541729,-0.0382223132452732,-0.0382223132452732,-0.0382223132452732,-0.0382223132452732,-0.0346962062862399,-0.0335990014395328,-0.0577874097567159,-0.0792104155355412,-0.0306040238972077,-0.023913265276659,-0.0522407865483147,-0.0761221880064413,-0.0397010884338354,-0.0289513164357387,-0.0415513747060121,-0.0697465670762919
"serine",-0.0667737654041076,-0.0667737654041076,-0.144603121142821,-0.10046220307073,-0.115999129041776,-0.139496419006346,-0.115515436165031,-0.135046695674429,-0.177958856724208,-0.202043037093446,-0.131674352513207,-0.131674352513207,-0.131674352513207,-0.131674352513207,-0.11023130955483,-0.123235067784044,-0.133383317837593,-0.170561430191876
"threonine",-0.0775350677275387,-0.0775350677275387,-0.118286553828422,-0.118286553828422,-0.118286553828422,-0.118286553828422,-0.158875368565608,-0.120234560362152,-0.232854634480886,-0.292244870907703,-0.103653672832865,-0.114876652137561,-0.197784449079548,-0.283180863541602,-0.124420476771965,-0.113796367141933,-0.179963682123156,-0.231643224523619
"tryptophan",-0.00999126712062834,-0.00999126712062834,-0.0141401339686109,-0.0127202030573313,-0.0129172668948644,-0.0219502155219122,-0.0148066879752712,-0.0142693205216692,-0.0198063585837617,-0.0287779955087016,-0.00766927581893287,-0.0085110083656896,-0.0179936433920947,-0.0240594362229139,-0.0112443695805844,-0.0113607882087056,-0.0167345569575527,-0.022734668561922
"valine",-0.0653368508371621,-0.0653368508371621,-0.166075105005811,-0.166075105005811,-0.166075105005811,-0.166075105005811,-0.0991328500148712,-0.0973589860127539,-0.133869826266368,-0.162815056095441,-0.146633455191557,-0.123203448938175,-0.217208006983003,-0.291316108635668,-0.134655254822684,-0.138917814716564,-0.207936279846842,-0.246112217311422
