EV_0,EV_1000,MYC_0,MYC_80,MYC_160,MYC_1000,TP53R175H_MYC_0,TP53R175H_MYC_80,TP53R175H_MYC_160,TP53R175H_MYC_1000,TP53R248Q_MYC_0,TP53R248Q_MYC_80,TP53R248Q_MYC_160,TP53R248Q_MYC_1000,TP53R273H_MYC_0,TP53R273H_MYC_80,TP53R273H_MYC_160,TP53R273H_MYC_1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.57476025848852e-07,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.52599582106606e-05,0,0,0,0,0,0,0,1.6307774668755e-05,0,0,0,0,0
0,0,0,0,2.52599582106606e-05,0,0,0,0,0,0,0,1.6307774668755e-05,0,0,0,0,0
0.110546988918622,0.10417217340543,0.151931722335904,4.75255075823532e-05,0.00105885530795569,0.000564362834050188,2.60243080385962e-05,0.00554915235497972,0.00255663408306349,0.61674736458462,0.129014402358471,0,0.0321334057234327,0.000196415050117628,0.0010979027000904,0.134866027313268,0.00771335110490395,4.29626808798991e-05
0.0222706484792239,0.0106558891205422,0.0138918134052687,0.0557127202342771,0.0108733588070952,0.106879593725246,0.00813504370736244,0.0959572905220058,0.0506065580874535,0.0457496816941955,0.0046261752476593,0.00213019779424674,0.0155657019848244,0.176560405624178,0.0583395785833852,0.0378491460050254,0.00260394137219211,0.0520105686712536
0.50142020713317,0.470391769543358,0.761885474953924,-0.0313216994643489,0.101114160800927,-0.0497974092312082,0.1480247235536,0.0223561742113006,0.140369638171647,0.791493342823131,0.448506630079467,0.028106113189925,0.264549897422223,0.357616531746309,0.0419460630048836,0.690815149960009,0.357088280370868,0.238899365776845
0.00304373234362893,0.00361361361697093,0.00108844188209739,0.00277077693034655,0.00490703765501264,0.00155484725241176,0.00848337732812233,0.00371801173884799,0.00118290174851219,0.0017680083073554,0.0152111066557224,0.988354450298001,0.0172220913900828,0.0146211476092097,0.00212407515984462,0.00316119322145111,0.00771483080799365,0.00430999948717388
0,0.00115298643549668,0.000274128096582225,0.00184957606192365,0.00701290278353456,0.00808085472122296,0.0104461393076447,0.00143501656799104,0.00718826144190272,0.0160260056103548,0.000952483690893885,0.00275623139013613,0.00746804531865643,0.00103318555998266,0,0.000749830602110545,0.0126058766968602,0.00288147583184441
