"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"4",1.31,3.66,"His",1,0.05,26.2,95.892,"TM",0,18,1,100.284,0.956204379562044,0.14990476,149.90476,NA,NA,143.339588029197
"5",1.31,3.66,"His",1,0.05,26.2,95.8188,"TM",100,18,1,100.284,0.955474452554745,0.14990476,149.90476,NA,NA,143.23016849635
"6",1.36,3.66,"His",1,0.05,27.2,99.552,"TM",1000,18,1,100.284,0.992700729927007,0.14990476,149.90476,NA,NA,148.810564671533
"7",1.53,3.66,"His",1,0.05,30.7,112.2888,"TM",0,20,1,100.284,1.11970802919708,0.14990476,149.90476,NA,NA,167.849563386861
"8",1.34,3.66,"His",1,0.05,26.9,98.3808,"TM",100,20,1,100.284,0.981021897810219,0.14990476,149.90476,NA,NA,147.059852145985
"9",1.27,3.66,"His",1,0.05,25.3,92.6712,"TM",1000,20,1,100.284,0.924087591240876,0.14990476,149.90476,NA,NA,138.525128583942
"10",1.7,3.66,"His",1,0.05,34,124.44,"TM",0,22,1,100.284,1.24087591240876,0.14990476,149.90476,NA,NA,186.013205839416
"11",1.28,3.66,"His",1,0.05,25.6,93.7692,"TM",100,22,1,100.284,0.935036496350365,0.14990476,149.90476,NA,NA,140.166421576642
"12",1.25,3.66,"His",1,0.05,25.1,91.7928,"TM",1000,22,1,100.284,0.915328467153285,0.14990476,149.90476,NA,NA,137.212094189781
"13",1.41,3.66,"His",1,0.05,28.2,103.212,"TM",0,24,1,100.284,1.02919708029197,0.14990476,149.90476,NA,NA,154.281541313869
"14",1.21,3.66,"His",1,0.05,24.2,88.4256,"TM",100,24,1,100.284,0.881751824817518,0.14990476,149.90476,NA,NA,132.178795678832
"15",1.43,3.66,"His",1,0.05,28.5,104.3832,"TM",1000,24,1,100.284,1.04087591240876,0.14990476,149.90476,NA,NA,156.032253839416
"16",1.39,3.66,"His",1,0.05,27.8,101.748,"T",0,16,1,100.284,1.01459854014599,0.14990476,149.90476,NA,NA,152.093150656934
"17",1.28,3.66,"His",1,0.05,25.6,93.7692,"T",100,16,1,100.284,0.935036496350365,0.14990476,149.90476,NA,NA,140.166421576642
"18",1.29,3.66,"His",1,0.05,25.8,94.5744,"T",1000,16,1,100.284,0.943065693430657,0.14990476,149.90476,NA,NA,141.370036437956
"19",1.48,3.66,"His",1,0.05,29.5,108.0432,"T",0,18,1,100.284,1.07737226277372,0.14990476,149.90476,NA,NA,161.503230481752
"20",1.38,3.66,"His",1,0.05,27.6,100.9428,"T",100,18,1,100.284,1.00656934306569,0.14990476,149.90476,NA,NA,150.88953579562
"21",1.36,3.66,"His",1,0.05,27.1,99.2592,"T",1000,18,1,100.284,0.98978102189781,0.14990476,149.90476,NA,NA,148.372886540146
"22",1.42,3.66,"His",1,0.05,28.5,104.2368,"T",0,20,1,100.284,1.03941605839416,0.14990476,149.90476,NA,NA,155.813414773723
"23",1.35,3.66,"His",1,0.05,27,98.7468,"T",100,20,1,100.284,0.984671532846715,0.14990476,149.90476,NA,NA,147.606949810219
"24",1.48,3.66,"His",1,0.05,29.6,108.4092,"T",1000,20,1,100.284,1.08102189781022,0.14990476,149.90476,NA,NA,162.050328145985
"25",1.21,3.66,"His",1,0.05,24.1,88.2792,"T",0,22,1,100.284,0.88029197080292,0.14990476,149.90476,NA,NA,131.959956613139
"26",1.38,3.66,"His",1,0.05,27.5,100.65,"T",100,22,1,100.284,1.0036496350365,0.14990476,149.90476,NA,NA,150.451857664234
"27",1.11,3.66,"His",1,0.05,22.2,81.1056,"T",1000,22,1,100.284,0.808759124087591,0.14990476,149.90476,NA,NA,121.236842394161
"28",1.44,3.66,"His",1,0.05,28.8,105.3348,"T",0,24,1,100.284,1.05036496350365,0.14990476,149.90476,NA,NA,157.454707766423
"29",1.31,3.66,"His",1,0.05,26.1,95.6724,"T",100,24,1,100.284,0.954014598540146,0.14990476,149.90476,NA,NA,143.011329430657
"30",1.42,3.66,"His",1,0.05,28.3,103.6512,"T",1000,24,1,100.284,1.03357664233577,0.14990476,149.90476,NA,NA,154.938058510949
"1",1.4,4.54,"Pro",1,0.05,28.1,127.4832,"TM",0,16,1,132.6588,0.960985626283367,0.15,150,NA,NA,144.147843942505
"2",1.45,4.54,"Pro",1,0.05,29.1,132.0232,"TM",100,16,1,132.6588,0.995208761122519,0.15,150,NA,NA,149.281314168378
"3",1.49,4.54,"Pro",1,0.05,29.8,135.2012,"TM",1000,16,1,132.6588,1.01916495550992,0.15,150,NA,NA,152.874743326489
"4",1.44,4.54,"Pro",1,0.05,28.8,130.8428,"TM",0,18,1,132.6588,0.986310746064339,0.15,150,NA,NA,147.946611909651
"5",1.5,4.54,"Pro",1,0.05,30,136.2,"TM",100,18,1,132.6588,1.02669404517454,0.15,150,NA,NA,154.004106776181
"6",1.52,4.54,"Pro",1,0.05,30.5,138.2884,"TM",1000,18,1,132.6588,1.04243668720055,0.15,150,NA,NA,156.365503080082
"7",1.47,4.54,"Pro",1,0.05,29.5,133.7484,"TM",0,20,1,132.6588,1.0082135523614,0.15,150,NA,NA,151.232032854209
"8",1.57,4.54,"Pro",1,0.05,31.5,142.8284,"TM",100,20,1,132.6588,1.0766598220397,0.15,150,NA,NA,161.498973305955
"9",1.54,4.54,"Pro",1,0.05,30.8,139.832,"TM",1000,20,1,132.6588,1.05407255304586,0.15,150,NA,NA,158.110882956879
"10",1.48,4.54,"Pro",1,0.05,29.5,133.93,"TM",0,22,1,132.6588,1.00958247775496,0.15,150,NA,NA,151.437371663244
"11",1.48,4.54,"Pro",1,0.05,29.6,134.2932,"TM",100,22,1,132.6588,1.01232032854209,0.15,150,NA,NA,151.848049281314
"12",1.57,4.54,"Pro",1,0.05,31.4,142.3744,"TM",1000,22,1,132.6588,1.07323750855578,0.15,150,NA,NA,160.985626283368
"13",1.39,4.54,"Pro",1,0.05,27.8,126.212,"TM",0,24,1,132.6588,0.951403148528405,0.15,150,NA,NA,142.710472279261
"14",1.57,4.54,"Pro",1,0.05,31.4,142.7376,"TM",100,24,1,132.6588,1.07597535934292,0.15,150,NA,NA,161.396303901437
