"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"47",0.167,4.24,"Ala",2,0.05,3.34,14.15312,"E",100,16,1,5.510304,2.56848261003386,0.049999997,49.999997,NA,NA,128.424122796245
"48",0.121,4.24,"Ala",2,0.05,2.41,10.22688,"E",1000,16,1,5.510304,1.85595567867036,0.049999997,49.999997,NA,NA,92.797778365651
"49",0.102,4.24,"Ala",2,0.05,2.03,8.61568,"E",0,18,1,5.510304,1.56355801785165,0.049999997,49.999997,NA,NA,78.1778962019083
"50",0.186,4.24,"Ala",2,0.05,3.72,15.78128,"E",100,18,1,5.510304,2.86395814096645,0.049999997,49.999997,NA,NA,143.197898456448
"51",0.156,4.24,"Ala",2,0.05,3.11,13.19488,"E",1000,18,1,5.510304,2.39458294859957,0.049999997,49.999997,NA,NA,119.72914024623
"52",0.159,4.24,"Ala",2,0.05,3.18,13.4832,"E",0,20,1,5.510304,2.44690674053555,0.049999997,49.999997,NA,NA,122.345329686057
"53",0.158,4.24,"Ala",2,0.05,3.17,13.42384,"E",100,20,1,5.510304,2.43613419513697,0.049999997,49.999997,NA,NA,121.806702448446
"54",0.195,4.24,"Ala",2,0.05,3.91,16.56144,"E",1000,20,1,5.510304,3.00554016620499,0.049999997,49.999997,NA,NA,150.276999293629
"55",0.157,4.24,"Ala",2,0.05,3.15,13.34752,"E",0,22,1,5.510304,2.4222837796245,0.049999997,49.999997,NA,NA,121.114181714374
"56",0.159,4.24,"Ala",2,0.05,3.18,13.50016,"E",100,22,1,5.510304,2.44998461064943,0.049999997,49.999997,NA,NA,122.499223182518
"57",0.174,4.24,"Ala",2,0.05,3.48,14.7552,"E",1000,22,1,5.510304,2.67774699907664,0.049999997,49.999997,NA,NA,133.887341920591
"58",0.155,4.24,"Ala",2,0.05,3.09,13.11856,"E",0,24,1,5.510304,2.3807325330871,0.049999997,49.999997,NA,NA,119.036619512158
"59",0.128,4.24,"Ala",2,0.05,2.56,10.87136,"E",100,24,1,5.510304,1.97291474299785,0.049999997,49.999997,NA,NA,98.645731231148
"60",0.177,4.24,"Ala",2,0.05,3.53,14.97568,"E",1000,24,1,5.510304,2.71775931055709,0.049999997,49.999997,NA,NA,135.887957374577
"31",4.73,4.69,"Thr",2,0.05,94.6,443.7678,"M",0,16,1,476.6447,0.931024303847289,0.44915968,449.15968,NA,NA,418.178578388271
"32",4.54,4.69,"Thr",2,0.05,90.7,425.383,"M",100,16,1,476.6447,0.892453015841779,0.44915968,449.15968,NA,NA,400.853911010528
"33",4.08,4.69,"Thr",2,0.05,81.7,383.0792,"M",1000,16,1,476.6447,0.803699694971957,0.44915968,449.15968,NA,NA,360.989497809702
"34",3.81,4.69,"Thr",2,0.05,76.3,357.6594,"M",0,18,1,476.6447,0.750368985535767,0.44915968,449.15968,NA,NA,337.03549342517
"35",4.16,4.69,"Thr",2,0.05,83.1,389.9266,"M",100,18,1,476.6447,0.818065531831152,0.44915968,449.15968,NA,NA,367.44205249631
"36",4.02,4.69,"Thr",2,0.05,80.3,376.7946,"M",1000,18,1,476.6447,0.790514611827216,0.44915968,449.15968,NA,NA,355.067290083637
"37",3.99,4.69,"Thr",2,0.05,79.9,374.6372,"M",0,20,1,476.6447,0.785988389255141,0.44915968,449.15968,NA,NA,353.034293401555
"38",4,4.69,"Thr",2,0.05,79.9,374.8248,"M",100,20,1,476.6447,0.786381973826626,0.44915968,449.15968,NA,NA,353.211075721736
"39",4.58,4.69,"Thr",2,0.05,91.5,429.2288,"M",1000,20,1,476.6447,0.900521499557217,0.44915968,449.15968,NA,NA,404.47794857424
"40",4.05,4.69,"Thr",2,0.05,80.9,379.5148,"M",0,22,1,476.6447,0.796221588113746,0.44915968,449.15968,NA,NA,357.630633726262
"41",3.79,4.69,"Thr",2,0.05,75.8,355.4082,"M",100,22,1,476.6447,0.745645970677949,0.44915968,449.15968,NA,NA,334.914105582997
"42",3.84,4.69,"Thr",2,0.05,76.8,360.0044,"M",1000,22,1,476.6447,0.755288792679327,0.44915968,449.15968,NA,NA,339.245272427433
"43",3.58,4.69,"Thr",2,0.05,71.5,335.5226,"M",0,24,1,476.6447,0.703926006100561,0.44915968,449.15968,NA,NA,316.175179643806
"44",4.33,4.69,"Thr",2,0.05,86.5,405.685,"M",100,24,1,476.6447,0.851126635835875,0.44915968,449.15968,NA,NA,382.291767391518
"45",4.08,4.69,"Thr",2,0.05,81.5,382.235,"M",1000,24,1,476.6447,0.801928564400275,0.44915968,449.15968,NA,NA,360.193977368887
"46",3.77,4.69,"Thr",2,0.05,75.3,353.2508,"E",0,16,1,476.6447,0.741119748105874,0.44915968,449.15968,NA,NA,332.881108900915
"47",4.12,4.69,"Thr",2,0.05,82.4,386.2684,"E",100,16,1,476.6447,0.810390632687199,0.44915968,449.15968,NA,NA,363.99479725278
"48",5,4.69,"Thr",2,0.05,100,468.8124,"E",1000,16,1,476.6447,0.98356784414051,0.44915968,449.15968,NA,NA,441.779018132441
"49",4.47,4.69,"Thr",2,0.05,89.3,419.0046,"E",0,18,1,476.6447,0.879071140411296,0.44915968,449.15968,NA,NA,394.843312124373
"50",3.89,4.69,"Thr",2,0.05,77.8,364.6944,"E",100,18,1,476.6447,0.765128406966447,0.44915968,449.15968,NA,NA,343.664830431959
"51",3.64,4.69,"Thr",2,0.05,72.8,341.432,"E",1000,18,1,476.6447,0.716323920102332,0.44915968,449.15968,NA,NA,321.743822729509
"52",3.8,4.69,"Thr",2,0.05,75.9,356.1586,"E",0,20,1,476.6447,0.747220308963889,0.44915968,449.15968,NA,NA,335.621234863721
"53",3.78,4.69,"Thr",2,0.05,75.5,354.2826,"E",100,20,1,476.6447,0.743284463249041,0.44915968,449.15968,NA,NA,333.853411661911
"54",3.74,4.69,"Thr",2,0.05,74.8,350.6244,"E",1000,20,1,476.6447,0.735609564105087,0.44915968,449.15968,NA,NA,330.40615641838
"55",4.64,4.69,"Thr",2,0.05,92.8,435.232,"E",0,22,1,476.6447,0.913116205844731,0.44915968,449.15968,NA,NA,410.134982820033
"56",4.53,4.69,"Thr",2,0.05,90.5,424.5388,"E",100,22,1,476.6447,0.890681885270097,0.44915968,449.15968,NA,NA,400.058390569714
"57",4.5,4.69,"Thr",2,0.05,90,422.0062,"E",1000,22,1,476.6447,0.885368493555053,0.44915968,449.15968,NA,NA,397.671829247269
"58",3.78,4.69,"Thr",2,0.05,75.6,354.4702,"E",0,24,1,476.6447,0.743678047820525,0.44915968,449.15968,NA,NA,334.030193982092
"59",3.97,4.69,"Thr",2,0.05,79.4,372.4798,"E",100,24,1,476.6447,0.781462166683066,0.44915968,449.15968,NA,NA,351.001296719473
"60",3.84,4.69,"Thr",2,0.05,76.9,360.4734,"E",1000,24,1,476.6447,0.756272754108039,0.44915968,449.15968,NA,NA,339.687228227885
"31",2.85,4.49,"Glu",2,0.05,57,255.8402,"M",0,16,1,129.1324,1.98122392211405,0.05,50,NA,NA,99.0611961057024
"32",3.12,4.49,"Glu",2,0.05,62.4,280.2658,"M",100,16,1,129.1324,2.17037552155772,0.05,50,NA,NA,108.518776077886
"33",2.94,4.49,"Glu",2,0.05,58.8,264.012,"M",1000,16,1,129.1324,2.04450625869263,0.05,50,NA,NA,102.225312934631
"34",3.28,4.49,"Glu",2,0.05,65.7,294.8134,"M",0,18,1,129.1324,2.28303198887343,0.05,50,NA,NA,114.151599443672
"35",2.59,4.49,"Glu",2,0.05,51.8,232.7616,"M",100,18,1,129.1324,1.80250347705146,0.05,50,NA,NA,90.125173852573
"36",2.81,4.49,"Glu",2,0.05,56.3,252.6074,"M",1000,18,1,129.1324,1.95618915159944,0.05,50,NA,NA,97.8094575799722
"37",3.14,4.49,"Glu",2,0.05,62.9,282.3312,"M",0,20,1,129.1324,2.18636995827538,0.05,50,NA,NA,109.318497913769
"38",3.54,4.49,"Glu",2,0.05,70.8,318.0716,"M",100,20,1,129.1324,2.46314325452017,0.05,50,NA,NA,123.157162726008
"39",2.68,4.49,"Glu",2,0.05,53.7,241.0232,"M",1000,20,1,129.1324,1.86648122392211,0.05,50,NA,NA,93.3240611961057
"40",3.33,4.49,"Glu",2,0.05,66.6,299.2136,"M",0,22,1,129.1324,2.31710709318498,0.05,50,NA,NA,115.855354659249
"41",2.69,4.49,"Glu",2,0.05,53.7,241.2926,"M",100,22,1,129.1324,1.86856745479833,0.05,50,NA,NA,93.4283727399165
"42",3.05,4.49,"Glu",2,0.05,60.9,273.6206,"M",1000,22,1,129.1324,2.11891515994437,0.05,50,NA,NA,105.945757997218
"43",3.05,4.49,"Glu",2,0.05,60.9,273.441,"M",0,24,1,129.1324,2.11752433936022,0.05,50,NA,NA,105.876216968011
"44",2.91,4.49,"Glu",2,0.05,58.2,261.318,"M",100,24,1,129.1324,2.02364394993046,0.05,50,NA,NA,101.182197496523
"45",3.08,4.49,"Glu",2,0.05,61.6,276.4044,"M",1000,24,1,129.1324,2.14047287899861,0.05,50,NA,NA,107.02364394993
"46",2.43,4.49,"Glu",2,0.05,48.6,218.3038,"E",0,16,1,129.1324,1.69054242002782,0.05,50,NA,NA,84.5271210013908
"47",1.82,4.49,"Glu",2,0.05,36.5,163.7952,"E",100,16,1,129.1324,1.26842837273992,0.05,50,NA,NA,63.4214186369958
"48",3.89,4.49,"Glu",2,0.05,77.8,349.5016,"E",1000,16,1,129.1324,2.70653685674548,0.05,50,NA,NA,135.326842837274
"49",1.83,4.49,"Glu",2,0.05,36.6,164.5136,"E",0,18,1,129.1324,1.27399165507649,0.05,50,NA,NA,63.6995827538247
"50",2.13,4.49,"Glu",2,0.05,42.5,190.825,"E",100,18,1,129.1324,1.47774687065369,0.05,50,NA,NA,73.8873435326843
"51",2.29,4.49,"Glu",2,0.05,45.7,205.3726,"E",1000,18,1,129.1324,1.5904033379694,0.05,50,NA,NA,79.5201668984701
"52",2.53,4.49,"Glu",2,0.05,50.6,227.0144,"E",0,20,1,129.1324,1.75799721835883,0.05,50,NA,NA,87.8998609179416
"53",2.35,4.49,"Glu",2,0.05,47,210.8504,"E",100,20,1,129.1324,1.63282336578581,0.05,50,NA,NA,81.6411682892907
"54",2.48,4.49,"Glu",2,0.05,49.6,222.704,"E",1000,20,1,129.1324,1.72461752433936,0.05,50,NA,NA,86.230876216968
"55",2.19,4.49,"Glu",2,0.05,43.9,197.0212,"E",0,22,1,129.1324,1.52573018080668,0.05,50,NA,NA,76.2865090403338
"56",2.27,4.49,"Glu",2,0.05,45.4,203.7562,"E",100,22,1,129.1324,1.5778859527121,0.05,50,NA,NA,78.894297635605
"57",2.38,4.49,"Glu",2,0.05,47.7,214.0832,"E",1000,22,1,129.1324,1.65785813630042,0.05,50,NA,NA,82.8929068150209
"58",2.33,4.49,"Glu",2,0.05,46.6,209.3238,"E",0,24,1,129.1324,1.62100139082058,0.05,50,NA,NA,81.0500695410292
"59",3.2,4.49,"Glu",2,0.05,64.1,287.6294,"E",100,24,1,129.1324,2.22739916550765,0.05,50,NA,NA,111.369958275382
"60",2.26,4.49,"Glu",2,0.05,45.1,202.5888,"E",1000,24,1,129.1324,1.56884561891516,0.05,50,NA,NA,78.442280945758
"31",1.46,3.66,"His",2,0.05,29.1,106.506,"M",0,16,1,74.94582,1.4211066074132,0.14990476,149.90476,NA,NA,213.030644918689
"32",1.28,3.66,"His",2,0.05,25.6,93.696,"M",100,16,1,74.94582,1.25018313229477,0.14990476,149.90476,NA,NA,187.408402402696
"33",1.27,3.66,"His",2,0.05,25.3,92.598,"M",1000,16,1,74.94582,1.23553254871319,0.14990476,149.90476,NA,NA,185.212210187039
"34",1.51,3.66,"His",2,0.05,30.2,110.6052,"M",0,18,1,74.94582,1.47580211945109,0.14990476,149.90476,NA,NA,221.229762523807
"35",1.26,3.66,"His",2,0.05,25.1,91.866,"M",100,18,1,74.94582,1.22576549299214,0.14990476,149.90476,NA,NA,183.748082043268
"36",1.35,3.66,"His",2,0.05,27.1,99.1128,"M",1000,18,1,74.94582,1.32245934463056,0.14990476,149.90476,NA,NA,198.242950666602
"37",1.46,3.66,"His",2,0.05,29.2,106.7256,"M",0,20,1,74.94582,1.42403672412951,0.14990476,149.90476,NA,NA,213.469883361821
"38",1.34,3.66,"His",2,0.05,26.8,97.9416,"M",100,20,1,74.94582,1.30683205547688,0.14990476,149.90476,NA,NA,195.900345636568
"39",1.57,3.66,"His",2,0.05,31.4,115.0704,"M",1000,20,1,74.94582,1.53538115934951,0.14990476,149.90476,NA,NA,230.160944200811
"40",1.31,3.66,"His",2,0.05,26.3,96.1116,"M",0,22,1,74.94582,1.28241441617424,0.14990476,149.90476,NA,NA,192.24002527714
"41",1.25,3.66,"His",2,0.05,25,91.4268,"M",100,22,1,74.94582,1.21990525955951,0.14990476,149.90476,NA,NA,182.869605157005
"42",1.11,3.66,"His",2,0.05,22.3,81.5448,"M",1000,22,1,74.94582,1.08805000732529,0.14990476,149.90476,NA,NA,163.103875216096
"43",1.32,3.66,"His",2,0.05,26.3,96.4044,"M",0,24,1,74.94582,1.28632123846267,0.14990476,149.90476,NA,NA,192.825676534649
"44",1.22,3.66,"His",2,0.05,24.4,89.3772,"M",100,24,1,74.94582,1.19255750354056,0.14990476,149.90476,NA,NA,178.770046354446
"45",1.33,3.66,"His",2,0.05,26.5,97.0632,"M",1000,24,1,74.94582,1.29511158861161,0.14990476,149.90476,NA,NA,194.143391864043
"46",1.4,3.66,"His",2,0.05,28,102.5532,"E",0,16,1,74.94582,1.36836450651951,0.14990476,149.90476,NA,NA,205.124352942326
"47",1.36,3.66,"His",2,0.05,27.1,99.2592,"E",100,16,1,74.94582,1.32441275577477,0.14990476,149.90476,NA,NA,198.535776295356
"48",1.35,3.66,"His",2,0.05,27,98.8932,"E",1000,16,1,74.94582,1.31952922791425,0.14990476,149.90476,NA,NA,197.80371222347
"49",1.28,3.66,"His",2,0.05,25.6,93.8424,"E",0,18,1,74.94582,1.25213654343898,0.14990476,149.90476,NA,NA,187.70122803145
"50",1.45,3.66,"His",2,0.05,29,106.14,"E",100,18,1,74.94582,1.41622307955267,0.14990476,149.90476,NA,NA,212.298580846804
"51",1.41,3.66,"His",2,0.05,28.1,102.9192,"E",1000,18,1,74.94582,1.37324803438004,0.14990476,149.90476,NA,NA,205.856417014211
"52",1.54,3.66,"His",2,0.05,30.7,112.4352,"E",0,20,1,74.94582,1.50021975875372,0.14990476,149.90476,NA,NA,224.890082883235
"53",1.54,3.66,"His",2,0.05,30.8,112.8744,"E",100,20,1,74.94582,1.50607999218636,0.14990476,149.90476,NA,NA,225.768559769498
"54",1.49,3.66,"His",2,0.05,29.8,108.9948,"E",1000,20,1,74.94582,1.45431459686478,0.14990476,149.90476,NA,NA,218.008680607511
"55",1.29,3.66,"His",2,0.05,25.8,94.428,"E",0,22,1,74.94582,1.25995018801582,0.14990476,149.90476,NA,NA,188.872530546467
"56",1.32,3.66,"His",2,0.05,26.4,96.5508,"E",100,22,1,74.94582,1.28827464960688,0.14990476,149.90476,NA,NA,193.118502163403
"57",1.7,3.66,"His",2,0.05,34,124.3668,"E",1000,22,1,74.94582,1.65942276700689,0.14990476,149.90476,NA,NA,248.755371626703
"58",1.38,3.66,"His",2,0.05,27.6,100.9428,"E",0,24,1,74.94582,1.34687698393319,0.14990476,149.90476,NA,NA,201.903271026029
"59",1.33,3.66,"His",2,0.05,26.6,97.2096,"E",100,24,1,74.94582,1.29706499975582,0.14990476,149.90476,NA,NA,194.436217492797
"60",1.31,3.66,"His",2,0.05,26.2,95.8188,"E",1000,24,1,74.94582,1.27850759388582,0.14990476,149.90476,NA,NA,191.654374019632
"31",1.6,4.54,"Pro",2,0.05,31.9,144.9168,"M",0,16,1,128.1188,1.13111268603827,0.15,150,NA,NA,169.666902905741
"32",1.59,4.54,"Pro",2,0.05,31.8,144.2812,"M",100,16,1,128.1188,1.12615166548547,0.15,150,NA,NA,168.922749822821
"33",1.56,4.54,"Pro",2,0.05,31.1,141.2848,"M",1000,16,1,128.1188,1.10276399716513,0.15,150,NA,NA,165.41459957477
"34",1.49,4.54,"Pro",2,0.05,29.8,135.2012,"M",0,18,1,128.1188,1.05527994330262,0.15,150,NA,NA,158.291991495393
"35",1.57,4.54,"Pro",2,0.05,31.4,142.4652,"M",100,18,1,128.1188,1.1119773210489,0.15,150,NA,NA,166.796598157335
"36",1.47,4.54,"Pro",2,0.05,29.3,133.2036,"M",1000,18,1,128.1188,1.0396881644224,0.15,150,NA,NA,155.953224663359
"37",1.52,4.54,"Pro",2,0.05,30.4,138.1976,"M",0,20,1,128.1188,1.07866761162296,0.15,150,NA,NA,161.800141743444
"38",1.65,4.54,"Pro",2,0.05,32.9,149.366,"M",100,20,1,128.1188,1.16583982990787,0.15,150,NA,NA,174.87597448618
"39",1.55,4.54,"Pro",2,0.05,30.9,140.4676,"M",1000,20,1,128.1188,1.09638554216867,0.15,150,NA,NA,164.457831325301
"40",1.52,4.54,"Pro",2,0.05,30.3,137.562,"M",0,22,1,128.1188,1.07370659107016,0.15,150,NA,NA,161.055988660524
"41",1.54,4.54,"Pro",2,0.05,30.8,139.832,"M",100,22,1,128.1188,1.09142452161588,0.15,150,NA,NA,163.713678242381
"42",1.55,4.54,"Pro",2,0.05,31.1,141.0124,"M",1000,22,1,128.1188,1.10063784549965,0.15,150,NA,NA,165.095676824947
"43",1.6,4.54,"Pro",2,0.05,32,145.3708,"M",0,24,1,128.1188,1.13465627214741,0.15,150,NA,NA,170.198440822112
"44",1.65,4.54,"Pro",2,0.05,33.1,150.0924,"M",100,24,1,128.1188,1.17150956768249,0.15,150,NA,NA,175.726435152374
"45",1.62,4.54,"Pro",2,0.05,32.4,147.2776,"M",1000,24,1,128.1188,1.14953933380581,0.15,150,NA,NA,172.430900070872
"46",1.42,4.54,"Pro",2,0.05,28.4,128.7544,"E",0,16,1,128.1188,1.0049610205528,0.15,150,NA,NA,150.74415308292
"47",1.4,4.54,"Pro",2,0.05,27.9,126.8476,"E",100,16,1,128.1188,0.990077958894401,0.15,150,NA,NA,148.51169383416
"48",1.57,4.54,"Pro",2,0.05,31.5,142.9192,"E",1000,16,1,128.1188,1.11552090715804,0.15,150,NA,NA,167.328136073707
"49",1.44,4.54,"Pro",2,0.05,28.8,130.9336,"E",0,18,1,128.1188,1.02197023387668,0.15,150,NA,NA,153.295535081503
"50",1.43,4.54,"Pro",2,0.05,28.7,130.1164,"E",100,18,1,128.1188,1.01559177888023,0.15,150,NA,NA,152.338766832034
"51",1.44,4.54,"Pro",2,0.05,28.8,130.6612,"E",1000,18,1,128.1188,1.0198440822112,0.15,150,NA,NA,152.97661233168
"52",1.64,4.54,"Pro",2,0.05,32.8,149.0028,"E",0,20,1,128.1188,1.16300496102055,0.15,150,NA,NA,174.450744153083
"53",1.46,4.54,"Pro",2,0.05,29.1,132.114,"E",100,20,1,128.1188,1.03118355776045,0.15,150,NA,NA,154.677533664068
"54",1.44,4.54,"Pro",2,0.05,28.7,130.4796,"E",1000,20,1,128.1188,1.01842664776754,0.15,150,NA,NA,152.763997165131
"55",1.58,4.54,"Pro",2,0.05,31.5,143.01,"E",0,22,1,128.1188,1.11622962437987,0.15,150,NA,NA,167.434443656981
"56",1.62,4.54,"Pro",2,0.05,32.5,147.3684,"E",100,22,1,128.1188,1.15024805102764,0.15,150,NA,NA,172.537207654146
"57",1.64,4.54,"Pro",2,0.05,32.7,148.458,"E",1000,22,1,128.1188,1.15875265768958,0.15,150,NA,NA,173.812898653437
"58",1.53,4.54,"Pro",2,0.05,30.5,138.47,"E",0,24,1,128.1188,1.08079376328845,0.15,150,NA,NA,162.119064493267
"59",1.59,4.54,"Pro",2,0.05,31.8,144.372,"E",100,24,1,128.1188,1.1268603827073,0.15,150,NA,NA,169.029057406095
"60",1.56,4.54,"Pro",2,0.05,31.2,141.7388,"E",1000,24,1,128.1188,1.10630758327427,0.15,150,NA,NA,165.946137491141
"31",3.75,4.11,"Arg",2,0.05,74.9,308.0034,"M",0,16,1,345.5277,0.891400023789699,0.69905216,699.05216,NA,NA,623.135112054241
"32",3.74,4.11,"Arg",2,0.05,74.8,307.428,"M",100,16,1,345.5277,0.889734744855478,0.69905216,699.05216,NA,NA,621.970995218271
"33",3.14,4.11,"Arg",2,0.05,62.8,258.1902,"M",1000,16,1,345.5277,0.747234447484239,0.69905216,699.05216,NA,NA,522.355854540264
"34",3,4.11,"Arg",2,0.05,60.1,246.9288,"M",0,18,1,345.5277,0.714642559771619,0.69905216,699.05216,NA,NA,499.572425036279
"35",3.19,4.11,"Arg",2,0.05,63.7,261.807,"M",100,18,1,345.5277,0.757701915070774,0.69905216,699.05216,NA,NA,529.673160366361
"36",2.92,4.11,"Arg",2,0.05,58.4,240.1884,"M",1000,18,1,345.5277,0.695135006542167,0.69905216,699.05216,NA,NA,485.935627814916
"37",3.33,4.11,"Arg",2,0.05,66.6,273.8082,"M",0,20,1,345.5277,0.792434875698822,0.69905216,699.05216,NA,NA,553.953311516593
"38",2.88,4.11,"Arg",2,0.05,57.5,236.325,"M",100,20,1,345.5277,0.683953847983823,0.69905216,699.05216,NA,NA,478.119414773403
"39",4.39,4.11,"Arg",2,0.05,87.8,360.9402,"M",1000,20,1,345.5277,1.04460568573808,0.69905216,699.05216,NA,NA,730.233860963483
"40",1.88,4.11,"Arg",2,0.05,37.7,154.7826,"M",0,22,1,345.5277,0.447960033305579,0.69905216,699.05216,NA,NA,313.147428875937
"41",3.39,4.11,"Arg",2,0.05,67.8,278.658,"M",100,22,1,345.5277,0.806470798144404,0.69905216,699.05216,NA,NA,563.765153419769
"42",2.56,4.11,"Arg",2,0.05,51.3,210.6786,"M",1000,22,1,345.5277,0.609729986915665,0.69905216,699.05216,NA,NA,426.233064370168
"43",2.7,4.11,"Arg",2,0.05,54,222.1044,"M",0,24,1,345.5277,0.642797668609492,0.69905216,699.05216,NA,NA,449.34909868443
"44",2.07,4.11,"Arg",2,0.05,41.5,170.4828,"M",100,24,1,345.5277,0.493398358510765,0.69905216,699.05216,NA,NA,344.911188257405
"45",2.83,4.11,"Arg",2,0.05,56.6,232.4616,"M",1000,24,1,345.5277,0.672772689425479,0.69905216,699.05216,NA,NA,470.30320173189
"46",3.16,4.11,"Arg",2,0.05,63.3,260.0808,"E",0,16,1,345.5277,0.75270607826811,0.69905216,699.05216,NA,NA,526.180809858451
"47",3.46,4.11,"Arg",2,0.05,69.1,284.1654,"E",100,16,1,345.5277,0.822409896514809,0.69905216,699.05216,NA,NA,574.907414564054
"48",1.99,4.11,"Arg",2,0.05,39.7,163.2492,"E",1000,16,1,345.5277,0.472463423337695,0.69905216,699.05216,NA,NA,330.27657660521
"49",2.2,4.11,"Arg",2,0.05,44,180.7578,"E",0,18,1,345.5277,0.523135482336148,0.69905216,699.05216,NA,NA,365.698988899726
"50",4.69,4.11,"Arg",2,0.05,93.7,385.1892,"E",100,18,1,345.5277,1.11478529796598,0.69905216,699.05216,NA,NA,779.293070479363
"51",2.87,4.11,"Arg",2,0.05,57.4,235.9962,"E",1000,18,1,345.5277,0.683002260021411,0.69905216,699.05216,NA,NA,477.454205152849
"52",3.44,4.11,"Arg",2,0.05,68.8,282.8502,"E",0,20,1,345.5277,0.81860354466516,0.69905216,699.05216,NA,NA,572.246576081837
"53",3.09,4.11,"Arg",2,0.05,61.8,254.1624,"E",100,20,1,345.5277,0.735577494944689,0.69905216,699.05216,NA,NA,514.207036688474
"54",3.64,4.11,"Arg",2,0.05,72.8,299.3724,"E",1000,20,1,345.5277,0.866420839776377,0.69905216,699.05216,NA,NA,605.67335951469
"55",3.16,4.11,"Arg",2,0.05,63.2,259.8342,"E",0,22,1,345.5277,0.751992387296301,0.69905216,699.05216,NA,NA,525.681902643036
"56",3.05,4.11,"Arg",2,0.05,61,250.71,"E",100,22,1,345.5277,0.72558582133936,0.69905216,699.05216,NA,NA,507.222335672654
"57",2.95,4.11,"Arg",2,0.05,59.1,242.7366,"E",1000,22,1,345.5277,0.702509813250862,0.69905216,699.05216,NA,NA,491.091002374212
"58",2.86,4.11,"Arg",2,0.05,57.1,234.7632,"E",0,24,1,345.5277,0.679433805162365,0.69905216,699.05216,NA,NA,474.95966907577
"59",1.71,4.11,"Arg",2,0.05,34.1,140.3154,"E",100,24,1,345.5277,0.406090162959439,0.69905216,699.05216,NA,NA,283.878205571548
"60",3.25,4.11,"Arg",2,0.05,65.1,267.4788,"E",1000,24,1,345.5277,0.774116807422386,0.69905216,699.05216,NA,NA,541.148026320923
"31",2.33,2.01,"Cys",2,0.05,46.7,93.7866,"M",0,16,1,121.5246,0.771749917300695,0.09977272,99.77272,NA,NA,76.9995884088654
"32",1.77,2.01,"Cys",2,0.05,35.3,70.9932,"M",100,16,1,121.5246,0.5841878928217,0.09977272,99.77272,NA,NA,58.2860150578895
"33",2.66,2.01,"Cys",2,0.05,53.2,106.8516,"M",1000,16,1,121.5246,0.879259014224281,0.09977272,99.77272,NA,NA,87.7260634336752
"34",2.05,2.01,"Cys",2,0.05,41.1,82.5708,"M",0,18,1,121.5246,0.679457492557063,0.09977272,99.77272,NA,NA,67.7913221567979
"35",1.42,2.01,"Cys",2,0.05,28.4,57.1644,"M",100,18,1,121.5246,0.470393648693351,0.09977272,99.77272,NA,NA,46.9324538008601
"36",2.18,2.01,"Cys",2,0.05,43.6,87.5556,"M",1000,18,1,121.5246,0.720476347998677,0.09977272,99.77272,NA,NA,71.8838849354945
"37",1.87,2.01,"Cys",2,0.05,37.3,74.973,"M",0,20,1,121.5246,0.616936817730731,0.09977272,99.77272,NA,NA,61.5534643731393
"38",1.35,2.01,"Cys",2,0.05,26.9,54.069,"M",100,20,1,121.5246,0.444922262652994,0.09977272,99.77272,NA,NA,44.3911043334436
"39",2.02,2.01,"Cys",2,0.05,40.3,81.003,"M",1000,20,1,121.5246,0.666556400926232,0.09977272,99.77272,NA,NA,66.5041451538207
"40",1.63,2.01,"Cys",2,0.05,32.6,65.526,"M",0,22,1,121.5246,0.539199470724446,0.09977272,99.77272,NA,NA,53.7973978167383
"41",1.86,2.01,"Cys",2,0.05,37.2,74.772,"M",100,22,1,121.5246,0.615282831624214,0.09977272,99.77272,NA,NA,61.3884416804499
"42",2.16,2.01,"Cys",2,0.05,43.1,86.631,"M",1000,22,1,121.5246,0.7128680119087,0.09977272,99.77272,NA,NA,71.1247805491234
"43",1.39,2.01,"Cys",2,0.05,27.8,55.7976,"M",0,24,1,121.5246,0.459146543169037,0.09977272,99.77272,NA,NA,45.8102994905723
"44",2.74,2.01,"Cys",2,0.05,54.8,110.1882,"M",100,24,1,121.5246,0.906715183592458,0.09977272,99.77272,NA,NA,90.4654401323189
"45",1.39,2.01,"Cys",2,0.05,27.8,55.9584,"M",1000,24,1,121.5246,0.460469732054251,0.09977272,99.77272,NA,NA,45.9423176447238
"46",1.82,2.01,"Cys",2,0.05,36.4,73.1238,"E",0,16,1,121.5246,0.601720145550777,0.09977272,99.77272,NA,NA,60.035255600397
"47",2.27,2.01,"Cys",2,0.05,45.3,91.1334,"E",100,16,1,121.5246,0.749917300694674,0.09977272,99.77272,NA,NA,74.8212888653655
"48",1.86,2.01,"Cys",2,0.05,37.2,74.6916,"E",1000,16,1,121.5246,0.614621237181608,0.09977272,99.77272,NA,NA,61.3224326033741
"49",2.62,2.01,"Cys",2,0.05,52.4,105.2838,"E",0,18,1,121.5246,0.86635792259345,0.09977272,99.77272,NA,NA,86.438886430698
"50",1.84,2.01,"Cys",2,0.05,36.7,73.8072,"E",100,18,1,121.5246,0.607343698312934,0.09977272,99.77272,NA,NA,60.5963327555408
