timepoint,EV_0_1,EV_100_1,EV_1000_1,TP53R175H_0_1,TP53R175H_100_1,TP53R175H_1000_1,EV_0_2,EV_100_2,EV_1000_2,TP53R175H_0_2,TP53R175H_100_2,TP53R175H_1000_2,EV_0_3,EV_100_3,EV_1000_3,TP53R175H_0_3,TP53R175H_100_3,TP53R175H_1000_3,MYC_0_1,MYC_100_1,MYC_1000_1,TM_0_1,TM_100_1,TM_1000_1,MYC_0_2,MYC_100_2,MYC_1000_2,TM_0_2,TM_100_2,TM_1000_2,MYC_0_3,MYC_100_3,MYC_1000_3,TM_0_3,TM_100_3,TM_1000_3
15,38.0471,32.79247,39.98488,35.04089,36.29482,36.00236,36.38408,39.59776,40.34267,35.84287,37.99018,37.59346,38.05198,42.47467,42.71918,38.54256,38.70805,37.34016,37.53889,41.03962,44.80574,33.91232,40.5583,39.71788,40.0304,43.24237,40.41695,34.40208,39.29631,38.3922,36.08079,39.40566,39.1255,27.10937,30.4941,31.31963
16,38.99928,33.86182,41.41307,36.32611,37.52328,37.64796,37.95405,40.74456,41.45946,37.31723,40.15824,39.24485,39.34924,43.63475,44.13351,40.23611,40.36491,39.30042,39.14712,42.85759,47.01744,35.39927,42.01115,41.31277,41.59074,44.92859,42.26538,35.89039,41.432,39.68675,37.89511,41.70983,41.39072,28.16657,31.99602,32.79798
17,40.58652,35.07809,42.88178,37.23606,39.09702,39.31021,39.33432,42.26653,43.52336,38.78703,41.27543,40.78968,40.71204,45.0395,46.01369,41.64678,41.74736,40.57989,40.87893,45.04822,48.8758,36.67013,43.5397,42.3653,43.68941,46.98436,43.96317,37.72657,43.40662,41.6867,39.83297,42.98492,43.51652,29.90723,33.1974,34.73205
18,42.34548,36.47013,44.30848,38.77612,40.34538,40.34711,40.96632,43.99763,45.11811,40.40107,42.79781,41.73362,42.16519,46.73489,47.20967,42.60299,43.21611,42.27398,43.08872,47.16415,49.94723,37.85836,45.05735,44.4617,45.25383,49.4295,45.68725,39.07679,44.43697,43.19117,41.53191,45.44477,44.93057,30.24729,34.4581,35.54688
19,43.94637,38.06665,46.30713,40.58231,42.50754,42.3442,42.28148,45.74637,47.22426,42.5518,44.97547,44.13627,43.72168,48.86962,49.19802,44.41126,45.30573,44.0797,45.0389,49.58052,52.3515,39.87421,46.98,46.74266,47.25687,51.20806,48.1091,41.29021,46.65805,45.51619,43.28333,47.48439,47.30901,32.44592,36.25019,37.41769
20,45.38179,39.50575,48.50354,42.40497,43.61932,43.89089,44.0659,47.24938,48.55191,44.28077,46.90338,45.82188,44.9589,50.64186,51.18216,46.27742,47.48396,46.50972,47.25821,51.50647,54.45955,41.59925,48.30966,48.67788,48.68798,53.18476,49.4112,43.08619,48.95013,47.43526,44.75482,49.44899,48.57166,33.87198,37.87322,39.0826
21,46.92356,40.85117,50.31768,44.7232,46.08503,45.96009,45.48738,49.53975,50.68502,46.27031,48.52814,48.17672,46.25512,51.72918,53.78267,48.36427,49.57159,48.6689,48.76051,53.99908,57.83987,44.44642,50.59895,51.4102,51.25614,55.21629,52.13356,45.8736,51.3521,49.99681,47.51514,51.5846,51.14439,36.02633,39.34502,41.45777
22,48.36926,42.53917,52.03167,46.1488,47.56978,48.158,47.17506,51.10534,52.4868,48.36781,50.16634,50.44899,47.33307,53.30894,55.42599,49.57954,52.0216,50.79236,51.08669,55.96753,59.40202,46.26933,51.97019,53.23456,52.25084,57.15391,53.55371,47.61489,52.95126,52.44855,49.1755,53.78902,52.43865,37.08859,41.4045,42.706
23,50.39933,43.99624,53.75064,48.12257,49.7561,50.11945,49.09536,52.75842,54.54597,50.6647,52.98458,52.56716,49.13868,55.623,57.95024,51.98808,54.55944,53.29632,52.99021,58.76866,62.43433,49.03687,54.54997,55.73995,54.85099,59.42993,55.92099,50.51062,55.8858,54.8834,50.98103,56.24738,54.64584,39.74125,43.67161,44.5606
24,52.06814,45.40521,54.77321,49.46189,51.45066,51.89462,50.87566,54.69999,55.75872,52.38609,54.92035,54.50445,50.63937,57.25837,58.90631,53.84883,56.23473,55.33646,55.41859,60.97258,64.44704,50.89232,55.55052,57.68623,56.28765,61.99727,57.29734,52.10129,57.33553,56.88108,53.37552,58.57157,56.17546,41.43988,44.62724,46.00703
