timepoint,EV_0_1,EV_0_2,EV_0_3,MYC_0_1,MYC_0_2,MYC_0_3,EV_100_1,EV_100_2,EV_100_3,MYC_100_1,MYC_100_2,MYC_100_3,EV_1000_1,EV_1000_2,EV_1000_3,MYC_1000_1,MYC_1000_2,MYC_1000_3,TP53R175H_0_1,TP53R175H_0_2,TP53R175H_0_3,TM_0_1,TM_0_2,TM_0_3,TP53R175H_100_1,TP53R175H_100_2,TP53R175H_100_3,TM_100_1,TM_100_2,TM_100_3,TP53R175H_1000_1,TP53R175H_1000_2,TP53R175H_1000_3,TM_1000_1,TM_1000_2,TM_1000_3
30,76.91141,78.54796,82.15434,86.84908,92.37532,92.48135,78.38004,82.22674,81.21461,82.11254,82.65534,82.63994,80.22449,80.57285,80.15548,77.79115,79.01193,79.48815,81.62498,86.15819,86.61501,75.96616,79.48667,79.49069,83.46734,85.60662,83.24899,80.03799,79.60254,75.94956,84.40608,84.50042,82.85282,78.19547,76.20459,75.45617
31,77.90349,81.40749,83.75948,88.23669,93.43178,93.7373,79.88825,83.69204,82.80096,81.83888,83.83987,84.06934,82.74736,81.4912,82.46692,79.6285,80.53499,80.20276,82.92696,87.80869,88.10725,78.48192,81.39216,81.0936,85.21795,86.94105,85.0978,82.36883,81.13042,77.55238,85.9817,85.9302,84.26964,79.7127,77.2501,76.86606
32,80.6849,83.29105,85.2151,89.60397,94.29044,95.10638,82.44897,85.98344,84.60172,83.32953,85.47243,85.28348,84.42881,84.03031,84.78468,81.14979,81.82748,82.1222,84.53243,89.25156,90.08765,80.95987,83.98846,83.41932,86.42692,88.60135,86.92757,84.68329,83.12336,79.42417,87.29022,87.29119,85.88513,80.82727,78.99031,78.06697
33,81.70839,85.34144,86.35355,90.94813,95.25121,95.5238,84.34427,87.09695,85.65567,84.82027,86.7524,86.98111,86.94262,85.95753,86.71972,82.01757,83.37617,83.02055,86.51951,90.75619,91.40189,82.6638,85.57293,85.46535,87.70088,90.15231,88.48702,86.39347,84.89674,81.57957,89.10117,88.89934,87.59291,82.77833,80.75734,79.32781
34,83.23118,85.67072,87.59422,92.12796,95.87478,96.348,85.60046,88.18525,87.32738,86.78479,87.85292,87.19187,88.15608,86.89129,87.1587,83.92091,84.25957,84.43462,86.9635,91.31632,91.76979,84.79892,86.72683,86.14833,88.5313,90.6217,89.10816,87.40928,85.72095,82.18087,89.75119,89.40553,87.99252,83.1527,81.66534,80.29192
35,84.70739,86.79971,88.61622,93.17945,96.40093,96.75929,87.16504,88.83996,89.17342,86.82851,89.13661,88.0714,89.49153,88.46728,88.55458,84.91954,85.78796,85.76944,88.47935,92.89042,92.74778,86.00645,87.50056,88.02581,89.78718,91.71411,89.92348,88.574,86.55054,83.54132,91.16489,90.86712,88.99384,84.23734,82.66799,81.20966
36,86.48761,88.16348,90.17725,93.79028,96.3936,97.06951,88.09019,90.09187,90.32638,88.58809,90.04668,89.17442,90.57269,89.30322,89.75527,86.75543,87.45757,86.83795,88.88725,93.70122,93.57185,87.5391,88.97415,89.21275,90.92361,92.31654,90.94717,89.18475,87.46704,84.45395,92.22403,91.7454,90.52213,85.50218,84.01682,82.49815
37,87.51381,89.68378,91.35244,95.14397,96.79535,97.30264,89.68452,90.70499,91.23189,88.96662,91.21476,89.77148,92.15719,90.74238,90.55199,87.41274,88.44766,87.79516,90.25082,94.42963,94.17288,88.97637,89.93438,90.3755,91.42669,93.43765,92.10855,90.53168,88.50871,85.73042,93.21239,92.65383,91.42953,86.99588,85.19315,83.6506
38,88.43052,90.06403,91.81275,95.1954,97.50657,97.60548,90.59702,90.92844,91.51012,89.98584,91.54897,90.80025,93.06842,91.8218,91.72102,88.36443,88.79283,88.55008,90.7284,94.70587,94.07085,89.85564,90.08159,91.07703,92.37565,93.74807,92.31447,90.87711,89.25713,86.41694,93.73777,92.71462,92.13314,87.72484,86.09375,84.36451
39,89.49256,90.6509,91.89898,95.76093,97.77257,97.95625,91.25034,91.70183,92.39832,90.03439,91.46848,90.9317,93.58209,92.27641,91.73043,88.89837,89.28912,89.24334,91.42932,95.18139,94.66795,91.01106,91.41205,91.77415,93.11422,94.10435,92.46906,91.68482,90.27107,86.57293,94.13289,93.07431,92.51852,88.52737,86.34893,85.01147
40,90.31327,91.59718,92.89732,95.99352,98.06621,97.98271,91.99802,92.38623,92.98339,91.88169,92.43854,91.85587,93.90603,93.01543,93.1699,89.73745,89.51617,90.08019,91.96557,95.18651,94.69656,91.73415,91.90374,92.43299,93.75263,94.43813,93.42286,92.43735,90.98309,87.74667,94.62181,93.71097,93.46354,89.53263,87.40163,86.26727
41,90.92568,92.06345,92.88805,96.63538,98.94859,98.43605,92.69755,92.78845,93.41906,91.88571,92.8031,93.09233,94.11723,93.9354,93.6506,90.49528,91.34727,90.43633,92.88005,95.45528,94.82918,92.38249,92.48161,92.92518,93.98493,95.07005,93.56487,92.81034,91.61568,88.85306,94.824,93.99633,93.93809,90.2215,88.25507,86.70535
42,91.55117,92.49655,93.39833,97.26778,98.74862,98.6291,93.18344,93.01324,93.76837,93.01207,92.93699,92.63738,94.56509,94.19285,93.77128,91.0536,91.90503,91.08941,93.03727,95.36948,94.93982,93.19788,93.18897,93.05958,94.20982,95.06115,93.85851,93.45885,92.19526,88.81555,94.98923,94.25481,93.89124,90.68716,89.35789,87.44542
43,92.13493,93.21673,93.44592,98.39564,99.09566,98.89873,93.71397,93.33981,94.06037,92.93913,93.57703,93.01945,94.54003,93.97746,93.41132,90.98882,91.54068,91.53045,93.50153,95.59393,94.95856,93.37644,93.40419,93.5027,94.44739,95.12855,94.08619,93.77356,92.4312,89.51597,95.02094,94.43311,94.06519,91.25495,89.45339,88.47439
44,92.98526,93.68638,94.00703,98.40165,99.74725,98.90562,93.70132,93.1534,94.14966,92.83987,93.979,93.29958,94.77467,94.59625,93.84325,92.42422,92.53253,92.36758,93.79448,95.4247,94.69855,93.74876,93.4826,93.51044,94.7813,95.24349,93.99647,93.86349,92.58614,89.89258,95.15411,94.66872,94.18649,91.69313,90.14797,89.04593
45,93.23579,93.95909,93.939,98.80643,99.19009,99.07984,94.26026,93.44539,94.57664,93.77264,94.19559,93.37476,94.9247,94.65282,94.03036,91.85284,92.59166,92.51485,94.18559,95.72787,95.05643,94.13185,93.99943,94.008,94.86993,95.65374,94.64786,94.55135,93.46513,90.57866,95.27782,95.06223,94.66693,92.63271,90.86593,90.20087
46,94.11134,94.11803,94.42431,98.99653,99.66105,99.50948,94.73799,93.97401,94.87524,94.28423,94.73316,93.94244,95.1863,94.86018,94.35173,92.44176,93.5762,92.75632,94.54729,95.7505,95.27603,94.48865,94.18421,94.13947,95.21359,95.73158,94.79948,94.92326,93.91316,90.90152,95.54826,95.29964,94.93354,92.98166,92.02589,90.75494
47,94.24023,94.62277,94.47674,99.3683,99.85868,99.43648,94.84956,94.20715,95.31672,94.76894,95.21461,94.28754,95.13442,95.04863,94.60212,93.06545,93.59942,93.34777,94.72902,95.72993,95.34095,94.65794,94.25798,94.38868,95.18029,95.79222,94.80119,95.26435,93.69321,91.61692,95.47434,95.89979,95.10375,93.73935,91.97164,91.18623
48,94.31651,94.75927,94.53671,99.66782,99.90268,99.5175,95.04794,94.10712,95.13006,94.56902,95.19639,94.37757,95.05389,95.19666,94.78974,92.97905,94.10941,93.87675,94.73731,95.80061,95.26131,94.45804,94.27319,94.27982,95.19292,95.83901,94.94467,95.25904,93.94417,92.01819,95.49093,95.76915,95.10817,94.03653,92.44755,91.63689
