rxn,rxnName,subsystem,associated_genes,mean_sample_TP53R248Q_MYC_0,mean_sample_TP53R248Q_MYC_1000,std_sample_TP53R248Q_MYC_0,std_sample_TP53R248Q_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR00155,"",Transport reactions,ENSG00000113396 or ENSG00000130304 or ENSG00000143554 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231,-2.5143878970685,-9.94011091837795,2.42496333874768,9.5908245200408,-0.829,1.55211578252316e-302,1.06155245472296,-1.98305471753325+0i,7.42572302130944,MAM01410e,MAM01410c
MAR09047,"",Exchange/demand reactions,,3.78801581592651,4.14928103696836,3.18502680278468,9.61604043333709,-0.616,2.27996026791404e-167,0.0504360125211989,-0.131419021960691+0i,-0.361265221041848,MAM02040e,
MAR04885,"",Transport reactions,ENSG00000165272,5.88703894987254,4.57101392719088,4.19075708946473,9.76561123781292,-0.634,2.99789803128762e-177,0.175135922710864,0.365027958229189+0i,1.31602502268166,MAM02040c,MAM02040e
MAR04373,"D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)",Glycolysis / Gluconeogenesis,ENSG00000111640,-3.66598229487697,-11.4265125925745,2.05684220076812,10.3542543792934,-0.869,0,1.03964133588287,-1.64011343227855+0i,7.76053029769749,MAM00247c; MAM02039c; MAM02553c,MAM01939c; MAM02552c; MAM02751c
MAR04368,"ATP:3-phospho-D-glycerate 1-phosphotransferase",Glycolysis / Gluconeogenesis,ENSG00000102144 or ENSG00000154305,3.66597911580467,11.4265019807684,2.05684218973014,10.3542544575653,0.869,0,1.03964033280598,-1.64011334352567+0i,-7.76052286496375,MAM00247c; MAM01285c,MAM00913c; MAM01371c
MAR04363,"2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)",Glycolysis / Gluconeogenesis,ENSG00000074800 or ENSG00000108515,3.667582409869,11.4186291432435,2.05646927233735,10.3570692430428,0.869,0,1.0381065077094,-1.63848817074371+0i,-7.75104673337455,MAM00674c,MAM02040c; MAM02696c
MAR04365,"D-phosphoglycerate 2,3-phosphomutase",Glycolysis / Gluconeogenesis,ENSG00000171314 or ENSG00000172331,-3.667582409869,-11.4186291432435,2.05646927233735,10.3570692430428,-0.869,0,1.0381065077094,-1.63848817074371+0i,7.75104673337455,MAM00674c,MAM00913c
MAR06627,"",Pyrimidine metabolism,ENSG00000067225,3.66839280951766,11.4186743759338,2.05610089174728,10.3571389429514,0.869,0,1.03800435950957,-1.63817513882263+0i,-7.75028156641616,MAM01747c; MAM02039c; MAM02696c,MAM01753c; MAM02819c
MAR06614,"",Pyrimidine metabolism,ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678,3.66785269996774,11.4181325201446,2.05628539051665,10.3573846211949,0.869,0,1.0379769060969,-1.63831910468284+0i,-7.75027982017687,MAM01637c; MAM01753c,MAM01642c; MAM01747c
MAR04044,"ATP:dADP phosphotransferase",Purine metabolism,ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678,3.66602624538623,11.4110146797361,2.0598721018857,10.3610489437335,0.869,0,1.0368467113205,-1.63813806392911+0i,-7.74498843434983,MAM01285c; MAM01642c,MAM01371c; MAM01637c
MAR06005,"",Transport reactions,ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190,3.60320757151324,11.3600485930796,1.98793225010163,10.376145264914,0.868,0,1.03833177666066,-1.65661533682475+0i,-7.7568410215664,MAM01253c; MAM02833e,MAM01253e; MAM02833c
MAR06012,"",Transport reactions,ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190,3.76089038856802,11.7917485717699,2.11389658646741,10.4423369031323,0.869,0,1.06600209600783,-1.64863150352255+0i,-8.0308581832019,MAM00648c; MAM01410e,MAM00648e; MAM01410c
MAR06013,"",Transport reactions,ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190,-3.68609432813422,-11.5586540424497,2.11551442821151,10.4441350504905,-0.869,0,1.04478552119583,-1.64880851623337+0i,7.87255971431545,MAM00648c; MAM02833e,MAM00648e; MAM02833c
MAR06000,"",Transport reactions,ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190,-3.35091121318055,-10.94361398708,2.05550972939268,10.5257257897102,-0.855,9.18962101264719e-322,1.00122623884754,-1.70746388215639+0i,7.59270277389946,MAM01253c; MAM02819e,MAM01253e; MAM02819c
MAR09133,"",Exchange/demand reactions,,3.35091121318055,10.94361398708,2.05550972939268,10.5257257897102,0.855,9.18962101264719e-322,1.00122623884754,-1.70746388215639+0i,-7.59270277389946,MAM02819e,
MAR01527,"Sodium Transport (Uniport)",Transport reactions,ENSG00000198743,-0.905745615697748,-7.82008967372096,1.24784149778206,17.6929675806467,-0.696,1.83503800001856e-213,0.551299832229084,-3.11000732877228+0i,6.91434405802322,MAM02519e,MAM02519c
