rxn,rxnName,subsystem,associated_genes,mean_sample_TP53R273H_MYC_0,mean_sample_TP53R273H_MYC_1000,std_sample_TP53R273H_MYC_0,std_sample_TP53R273H_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR02225,"Free Diffusion",Transport reactions,,-0.275351126897886,0.00158426513516289,0.653061901907289,0.0366632539762194,0.862,0,0.598764151231117,7.44131490434687+4.53236014182719i,-0.276935392033049,MAM02046c,MAM02046m
MAR06335,"",Transport reactions,ENSG00000125454,0.219207403144598,0.00905641144307181,0.255041256780327,0.0544235169182996,-0.764,4.610991018655e-257,1.13963705515313,4.5972132091327+0i,0.210150991701526,MAM01285m; MAM01637c,MAM01285c; MAM01637m
MAR05580,"",Transport reactions,ENSG00000103064 or ENSG00000103257,0.222754130202491,0.431774840233476,0.0652200468939856,0.204172648751136,0.986,0,1.37913960438008,-0.95482699737644+0i,-0.209020710030985,MAM02125c; MAM02426e,MAM02125e; MAM02426c
MAR04319,"ATP:D-fructose 6-phosphotransferase",Fructose and mannose metabolism,ENSG00000156510 or ENSG00000156515 or ENSG00000159399,2.0534570836064,0.0136338450070949,1.63172537657905,0.351757070103486,-0.927,0,1.72821056255873,7.23471849834745+0i,2.0398232385993,MAM01371c; MAM01840c,MAM01285c; MAM01845c; MAM02039c
MAR08456,"",Nucleotide metabolism,ENSG00000162368,-0.00223161125167171,-0.407448009145448,0.0464255563821763,0.44887431861592,-0.815,1.98903001069221e-292,1.26989188488363,-7.51238644073246+0i,0.405216397893776,MAM01643c; MAM03106c,MAM01644c; MAM03130c
MAR04572,"ATP:dGDP phosphotransferase",Purine metabolism,ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678,0.00177604539414806,0.406055229550673,0.0456465369973921,0.449577700072079,0.81,7.35902196663911e-289,1.2652156618854,-7.83686370234742+0i,-0.404279184156525,MAM01285m; MAM01688m,MAM01371m; MAM01680m
MAR06342,"",Transport reactions,ENSG00000125454,0.00159701802856662,0.406055229550673,0.0453004187009393,0.449577700072079,0.811,1.42869981488501e-289,1.26587351084359,-7.9901515592429+0i,-0.404458211522107,MAM01285m; MAM01688c,MAM01285c; MAM01688m
MAR08450,"",Nucleotide metabolism,ENSG00000162368,0.00181602068846987,0.406128200656682,0.0456456057250952,0.449578042108333,0.958,0,1.26531823480855,-7.80501075992091+0i,-0.404312179968213,MAM01643c; MAM01680c,MAM01644c; MAM01688c
MAR07886,"ATP:dTDP phosphotransferase",Nucleotide metabolism,ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000155085 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678,0.202789392394837,0.415439288379931,0.331530560503685,0.491312803093805,0.726,3.38111313019549e-232,0.507388492834685,-1.03465547017093+0i,-0.212649895985094,MAM01285m; MAM01753m,MAM01371m; MAM01747m
MAR05304,"",Transport reactions,,-0.20374752582588,-0.417589692868194,0.329739705921286,0.493460193284938,-0.74,3.27891648878045e-241,0.509558923320588,-1.03530356279268+0i,0.213842167042315,MAM01752c,MAM01752m
